,CountryCode,CurrentHandle,NameFirst,NameLast,PlayerId,TotalUSDPrize
0,kr,MC,Min Chul,Jang,1000,506645.42
1,kr,sOs,Yoo Jin,Kim,2272,497206.27
2,kr,Life,Seung Hyun,Lee,1429,475900.67
3,kr,Polt,Sung Hoon,Choi,1003,451599.1
4,kr,INnoVation,Shin Hyung,Lee,2268,441857.09
5,kr,TY,Tae Yang,Jun,2224,440814.52
6,kr,Mvp,Jong Hyun,Jung,1002,404265.42
7,kr,MMA,Sung Won,Moon,1007,395456.54
8,kr,Byun,Hyun Woo,Byun,1017,389971.93
9,kr,PartinG,Lee Sak,Won,1132,355604.37
10,no,Snute,Jens,Aasgaard,1257,334526.98
11,kr,Zest,Sung Wook,Joo,4674,331634.91
12,kr,Maru,Sung Choo,Cho,1126,318353.5
13,pl,Nerchio,Artur,Bloch,1227,298026.03
14,kr,NesTea,Jae Duk,Lim,1001,287702.13
15,kr,TaeJa,Young Suh,Yoon,1061,284752.52
16,fr,Stephano,Ilyes,Satouri,1158,282466.02
17,kr,Dark,Ryung Woo,Park,3620,278852.29
18,kr,Leenock,Dong Nyung,Lee,1025,266543.13
19,kr,HerO,Hyeon Deok,Song,1086,264105.72
20,kr,DongRaeGu,Soo Ho,Park,1057,259858.98
21,kr,Bomber,Ji Sung,Choi,1030,256952.14
22,us,Neeb,Alex,Sunderhaft,3818,256733.5
23,kr,Stats,Dae Yeob,Kim,2236,244974.71
24,kr,Rain,Yoon Jong,Jung,3041,239358.36
25,kr,HyuN,Seok Hyun,Ko,1426,233413.6
26,kr,Classic,Doh Woo,Kim,2271,232901.18
27,kr,Jaedong,Jae Dong,Lee,1507,224833.53
28,kr,Solar,Min Soo,Kang,3657,221149.57
29,kr,herO,Joon Ho,Kim,3042,217695.24
30,kr,MarineKing,Jung Hoon,Lee,1004,211182.44
31,ca,Scarlett,Sasha,Hostyn,2280,195836.83
32,kr,soO,Yoon Su,Eu,3481,195206.29
33,kr,viOLet,Dong Hwan,Kim,1052,183368.96
34,kr,aLive,Lee Seok,Han,1033,179146.2
