,Unnamed: 0,CountryCode,CurrentHandle,NameFirst,NameLast,PlayerId,TotalUSDPrize,Key,KL,kh
0,0,kr,MC,Min-Chul,Jang,1000,506645.42,1000-MC-Min-Chul-Jang,1000-MC-Jang-Min-Chul,1000-MC
1,1,kr,sOs,Yoo-Jin,Kim,2272,497206.27,2272-sOs-Yoo-Jin-Kim,2272-sOs-Kim-Yoo-Jin,2272-sOs
2,2,kr,Life,Seung-Hyun,Lee,1429,475900.67,1429-Life-Seung-Hyun-Lee,1429-Life-Lee-Seung-Hyun,1429-Life
3,3,kr,Polt,Sung-Hoon,Choi,1003,451599.1,1003-Polt-Sung-Hoon-Choi,1003-Polt-Choi-Sung-Hoon,1003-Polt
4,4,kr,INnoVation,Shin-Hyung,Lee,2268,441857.09,2268-INnoVation-Shin-Hyung-Lee,2268-INnoVation-Lee-Shin-Hyung,2268-INnoVation
5,5,kr,TY,Tae-Yang,Jun,2224,440814.52,2224-TY-Tae-Yang-Jun,2224-TY-Jun-Tae-Yang,2224-TY
6,6,kr,Mvp,Jong-Hyun,Jung,1002,404265.42,1002-Mvp-Jong-Hyun-Jung,1002-Mvp-Jung-Jong-Hyun,1002-Mvp
7,7,kr,MMA,Sung-Won,Moon,1007,395456.54,1007-MMA-Sung-Won-Moon,1007-MMA-Moon-Sung-Won,1007-MMA
8,8,kr,Byun,Hyun-Woo,Byun,1017,389971.93,1017-Byun-Hyun-Woo-Byun,1017-Byun-Byun-Hyun-Woo,1017-Byun
9,9,kr,PartinG,Lee-Sak,Won,1132,355604.37,1132-PartinG-Lee-Sak-Won,1132-PartinG-Won-Lee-Sak,1132-PartinG
10,10,no,Snute,Jens,Aasgaard,1257,334526.98,1257-Snute-Jens-Aasgaard,1257-Snute-Aasgaard-Jens,1257-Snute
11,11,kr,Zest,Sung-Wook,Joo,4674,331634.91,4674-Zest-Sung-Wook-Joo,4674-Zest-Joo-Sung-Wook,4674-Zest
12,12,kr,Maru,Sung-Choo,Cho,1126,318353.5,1126-Maru-Sung-Choo-Cho,1126-Maru-Cho-Sung-Choo,1126-Maru
13,13,pl,Nerchio,Artur,Bloch,1227,298026.03,1227-Nerchio-Artur-Bloch,1227-Nerchio-Bloch-Artur,1227-Nerchio
14,14,kr,NesTea,Jae-Duk,Lim,1001,287702.13,1001-NesTea-Jae-Duk-Lim,1001-NesTea-Lim-Jae-Duk,1001-NesTea
15,15,kr,TaeJa,Young-Suh,Yoon,1061,284752.52,1061-TaeJa-Young-Suh-Yoon,1061-TaeJa-Yoon-Young-Suh,1061-TaeJa
16,16,fr,Stephano,Ilyes,Satouri,1158,282466.02,1158-Stephano-Ilyes-Satouri,1158-Stephano-Satouri-Ilyes,1158-Stephano
17,17,kr,Dark,Ryung-Woo,Park,3620,278852.29,3620-Dark-Ryung-Woo-Park,3620-Dark-Park-Ryung-Woo,3620-Dark
18,18,kr,Leenock,Dong-Nyung,Lee,1025,266543.13,1025-Leenock-Dong-Nyung-Lee,1025-Leenock-Lee-Dong-Nyung,1025-Leenock
19,19,kr,HerO,Hyeon-Deok,Song,1086,264105.72,1086-HerO-Hyeon-Deok-Song,1086-HerO-Song-Hyeon-Deok,1086-HerO
20,20,kr,DongRaeGu,Soo-Ho,Park,1057,259858.98,1057-DongRaeGu-Soo-Ho-Park,1057-DongRaeGu-Park-Soo-Ho,1057-DongRaeGu
21,21,kr,Bomber,Ji-Sung,Choi,1030,256952.14,1030-Bomber-Ji-Sung-Choi,1030-Bomber-Choi-Ji-Sung,1030-Bomber
22,22,us,Neeb,Alex,Sunderhaft,3818,256733.5,3818-Neeb-Alex-Sunderhaft,3818-Neeb-Sunderhaft-Alex,3818-Neeb
23,23,kr,Stats,Dae-Yeob,Kim,2236,244974.71,2236-Stats-Dae-Yeob-Kim,2236-Stats-Kim-Dae-Yeob,2236-Stats
24,24,kr,Rain,Yoon-Jong,Jung,3041,239358.36,3041-Rain-Yoon-Jong-Jung,3041-Rain-Jung-Yoon-Jong,3041-Rain
25,25,kr,HyuN,Seok-Hyun,Ko,1426,233413.6,1426-HyuN-Seok-Hyun-Ko,1426-HyuN-Ko-Seok-Hyun,1426-HyuN
26,26,kr,Classic,Doh-Woo,Kim,2271,232901.18,2271-Classic-Doh-Woo-Kim,2271-Classic-Kim-Doh-Woo,2271-Classic
27,27,kr,Jaedong,Jae-Dong,Lee,1507,224833.53,1507-Jaedong-Jae-Dong-Lee,1507-Jaedong-Lee-Jae-Dong,1507-Jaedong
28,28,kr,Solar,Min-Soo,Kang,3657,221149.57,3657-Solar-Min-Soo-Kang,3657-Solar-Kang-Min-Soo,3657-Solar
29,29,kr,herO,Joon-Ho,Kim,3042,217695.24,3042-herO-Joon-Ho-Kim,3042-herO-Kim-Joon-Ho,3042-herO
30,30,kr,MarineKing,Jung-Hoon,Lee,1004,211182.44,1004-MarineKing-Jung-Hoon-Lee,1004-MarineKing-Lee-Jung-Hoon,1004-MarineKing
31,31,ca,Scarlett,Sasha,Hostyn,2280,195836.83,2280-Scarlett-Sasha-Hostyn,2280-Scarlett-Hostyn-Sasha,2280-Scarlett
32,32,kr,soO,Yoon-Su,Eu,3481,195206.29,3481-soO-Yoon-Su-Eu,3481-soO-Eu-Yoon-Su,3481-soO
33,33,kr,viOLet,Dong-Hwan,Kim,1052,183368.96,1052-viOLet-Dong-Hwan-Kim,1052-viOLet-Kim-Dong-Hwan,1052-viOLet
34,34,kr,aLive,Lee-Seok,Han,1033,179146.2,1033-aLive-Lee-Seok-Han,1033-aLive-Han-Lee-Seok,1033-aLive
35,35,se,NaNiwa,Johan,Lucchesi,1094,177328.02,1094-NaNiwa-Johan-Lucchesi,1094-NaNiwa-Lucchesi-Johan,1094-NaNiwa
36,36,pl,MaNa,Grzegorz,Komincz,1225,173190.35,1225-MaNa-Grzegorz-Komincz,1225-MaNa-Komincz-Grzegorz,1225-MaNa
37,37,de,ShoWTimE,Tobias,Sieber,3811,172210.23,3811-ShoWTimE-Tobias-Sieber,3811-ShoWTimE-Sieber-Tobias,3811-ShoWTimE
38,38,kr,Soulkey,Min-Chul,Kim,2230,155784.34,2230-Soulkey-Min-Chul-Kim,2230-Soulkey-Kim-Min-Chul,2230-Soulkey
39,39,kr,Dear,Dong-Jun,Baek,2274,147801.3,2274-Dear-Dong-Jun-Baek,2274-Dear-Baek-Dong-Jun,2274-Dear
40,40,kr,Hydra,Dong-Won,Shin,2221,147391.89,2221-Hydra-Dong-Won-Shin,2221-Hydra-Shin-Dong-Won,2221-Hydra
41,41,ca,HuK,Chris,Loranger,1020,146635.93,1020-HuK-Chris-Loranger,1020-HuK-Loranger-Chris,1020-HuK
42,42,kr,fOrGG,Ji-Soo,Park,1129,146004.11,1129-fOrGG-Ji-Soo-Park,1129-fOrGG-Park-Ji-Soo,1129-fOrGG
43,43,kr,PuMa,Ho-Joon,Lee,1174,143862.24,1174-PuMa-Ho-Joon-Lee,1174-PuMa-Lee-Ho-Joon,1174-PuMa
44,44,kr,TRUE,Tae-Su,Bang,3651,142494.16,3651-TRUE-Tae-Su-Bang,3651-TRUE-Bang-Tae-Su,3651-TRUE
45,45,tw,Sen,Chia-Cheng,Yang,1076,140739.6,1076-Sen-Chia-Cheng-Yang,1076-Sen-Yang-Chia-Cheng,1076-Sen
46,46,kr,GuMiho,Byung-Jae,Koh,1064,139864.93,1064-GuMiho-Byung-Jae-Koh,1064-GuMiho-Koh-Byung-Jae,1064-GuMiho
47,47,mx,SpeCial,Juan-Carlos,Lopez,1175,134137.43,1175-SpeCial-Juan-Carlos-Lopez,1175-SpeCial-Lopez-Juan-Carlos,1175-SpeCial
48,48,pl,Elazer,Mikołaj,Ogonowski,11418,132989.18,11418-Elazer-Mikołaj-Ogonowski,11418-Elazer-Ogonowski-Mikołaj,11418-Elazer
49,49,kr,Jjakji,Hoon-Jung,Ji,1024,128920.0,1024-Jjakji-Hoon-Jung-Ji,1024-Jjakji-Ji-Hoon-Jung,1024-Jjakji
50,50,kr,Patience,Ji-Hyun,Jo,4977,122303.23,4977-Patience-Ji-Hyun-Jo,4977-Patience-Jo-Ji-Hyun,4977-Patience
51,51,kr,Trap,Sung-Ho,Cho,3435,119117.36,3435-Trap-Sung-Ho-Cho,3435-Trap-Cho-Sung-Ho,3435-Trap
52,52,cn,Jim,Jin,Hui-Cao,1236,118185.16,1236-Jim-Jin-Hui-Cao,1236-Jim-Hui-Cao-Jin,1236-Jim
53,53,kr,Creator,Hyun-Woo,Jang,1080,117014.05,1080-Creator-Hyun-Woo-Jang,1080-Creator-Jang-Hyun-Woo,1080-Creator
54,54,cn,TooDming,Hui-Ming,Huang,2775,114499.02,2775-TooDming-Hui-Ming-Huang,2775-TooDming-Huang-Hui-Ming,2775-TooDming
55,55,cn,iAsonu,Zhou,Hang,7995,112512.0,7995-iAsonu-Zhou-Hang,7995-iAsonu-Hang-Zhou,7995-iAsonu
56,56,kr,StarDust,Seok-Hee,Son,3521,111579.95,3521-StarDust-Seok-Hee-Son,3521-StarDust-Son-Seok-Hee,3521-StarDust
57,57,cn,XiGua,Lei,Wang,1239,109736.29,1239-XiGua-Lei-Wang,1239-XiGua-Wang-Lei,1239-XiGua
58,58,kr,ByuL,Ji-Won,Han,3616,106432.57,3616-ByuL-Ji-Won-Han,3616-ByuL-Han-Ji-Won,3616-ByuL
59,59,kr,san,Cho-Won,Kang,1011,106413.62,1011-san-Cho-Won-Kang,1011-san-Kang-Cho-Won,1011-san
60,60,kr,FruitDealer,Won-Ki,Kim,1037,102860.5,1037-FruitDealer-Won-Ki-Kim,1037-FruitDealer-Kim-Won-Ki,1037-FruitDealer
61,61,kr,Rogue,Byung-Ryul,Lee,4070,101701.24,4070-Rogue-Byung-Ryul-Lee,4070-Rogue-Lee-Byung-Ryul,4070-Rogue
62,62,kr,LosirA,Kang-Ho,Hwang,1009,101597.55,1009-LosirA-Kang-Ho-Hwang,1009-LosirA-Hwang-Kang-Ho,1009-LosirA
63,63,se,ThorZaIN,Marcus,Eklöf,1123,101492.4,1123-ThorZaIN-Marcus-Eklöf,1123-ThorZaIN-Eklöf-Marcus,1123-ThorZaIN
64,64,es,VortiX,Juan,Moreno-Durán,1280,99478.46,1280-VortiX-Juan-Moreno-Durán,1280-VortiX-Moreno-Durán-Juan,1280-VortiX
65,65,kr,Ryung,Dong-Won,Kim,1029,97724.37,1029-Ryung-Dong-Won-Kim,1029-Ryung-Kim-Dong-Won,1029-Ryung
66,66,de,TLO,Dario,Wünsch,1165,95956.03,1165-TLO-Dario-Wünsch,1165-TLO-Wünsch-Dario,1165-TLO
67,67,kr,Flash,Young-Ho,Lee,1505,95488.34,1505-Flash-Young-Ho-Lee,1505-Flash-Lee-Young-Ho,1505-Flash
68,68,kr,Alicia,Joon-Sik,Yang,1034,94907.1,1034-Alicia-Joon-Sik-Yang,1034-Alicia-Yang-Joon-Sik,1034-Alicia
69,69,kr,Symbol,Dong-Hyun,Kang,1135,94856.43,1135-Symbol-Dong-Hyun-Kang,1135-Symbol-Kang-Dong-Hyun,1135-Symbol
70,70,kr,Genius,Min-Soo,Jung,1018,93775.14,1018-Genius-Min-Soo-Jung,1018-Genius-Jung-Min-Soo,1018-Genius
