,Age_at_win,Prize_USD,date
0,23.0,136,2010-02-28
1,23.0,137,2010-03-14
2,24.0,267,2011-01-23
3,20.0,25000,2011-07-10
4,17.0,2093,2013-11-23
5,,244,2016-01-10
6,,182,2015-04-05
7,,58,2016-03-26
8,,150,2012-07-15
9,,76,2015-05-03
10,,15,2016-04-03
11,,240,2012-05-06
12,,20,2011-04-15
13,,20,2011-08-16
14,,200,2012-07-22
15,17.0,750,2014-05-14
16,,40,2012-06-03
17,,200,2013-03-29
18,,155,2013-07-28
19,,83,2014-02-17
20,,35,2011-05-27
21,,200,2011-05-29
22,18.0,100,2011-09-17
23,18.0,133,2011-10-09
24,,133,2012-02-23
25,,100,2012-02-24
26,17.0,500,2014-05-26
27,24.0,200,2012-07-21
28,25.0,31,2013-06-29
29,,23,2014-08-31
30,,100,2014-10-18
31,,25,2014-12-21
32,,31,2015-01-04
33,,50,2015-03-01
34,,229,2016-05-15
35,,229,2016-05-22
36,,229,2016-05-22
37,17.0,2000,2014-06-22
38,,228,2016-06-11
39,,228,2016-06-11
40,,228,2016-05-29
41,,208,2011-10-16
42,,20,2011-11-15
43,,173,2015-09-06
44,,53,2016-01-10
45,,161,2010-08-31
46,,65,2010-09-01
47,,226,2016-06-26
48,17.0,1479,2014-06-28
49,,226,2012-10-27
50,,20,2011-01-05
51,,20,2011-02-15
52,,185,2011-04-24
53,18.0,150,2012-07-15
54,19.0,75,2013-01-13
55,,225,2012-07-15
56,,225,2012-07-15
57,,225,2012-07-15
58,,100,2013-08-18
59,17.0,300,2014-07-14
60,,125,2015-05-11
61,,225,2012-07-15
62,,56,2015-01-31
63,,55,2015-10-24
64,,111,2016-02-06
65,,205,2013-07-20
66,,15,2014-11-10
67,25.0,20,2011-03-13
68,26.0,200,2012-07-21
69,,20,2010-11-23
70,17.0,676,2014-07-26
71,,50,2011-02-12
72,,150,2011-05-15
73,,200,2011-04-03
74,,20,2011-07-05
75,,200,2014-08-24
76,,20,2014-12-21
77,,200,2012-06-02
